"id","invoice_id","branch","city","customer_type","gender","product_line","unit_price","quantity","tax_5_percent","total","date","time","payment","cogs","gross_income","rating","product"
1077,"275-28-0149",A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,"09/25/2022","16:21",Cash,63.69,3.1845,6,
1078,"489-64-4354",C,Naypyitaw,Normal,Male,Fashion accessories,16.28,1,0.814,17.094,"10/09/2022","15:36",Cash,16.28,0.814,5,
1079,"765-26-6951",A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,"08/01/2022","10:39",Credit card,435.66,21.783,6.9,
1080,"746-04-1077",B,Mandalay,Member,Female,Food and beverages,84.63,10,42.315,888.615,"08/01/2022","11:36",Credit card,846.3,42.315,9,
1081,"271-77-8740",C,Naypyitaw,Member,Female,Sports and travel,29.22,6,8.766,184.086,"08/01/2022","11:40",Ewallet,175.32,8.766,5,
1082,"133-14-7229",C,Naypyitaw,Normal,Male,Health and beauty,62.87,2,6.287,132.027,"08/01/2022","11:43",Cash,125.74,6.287,5,
1083,"651-88-7328",A,Yangon,Normal,Female,Fashion accessories,65.74,9,29.583,621.243,"08/01/2022","13:55",Cash,591.66,29.583,7.7,
1084,"416-17-9926",A,Yangon,Member,Female,Electronic accessories,74.22,10,37.11,779.31,"08/01/2022","14:42",Credit card,742.2,37.11,4.3,
1085,"530-90-9855",A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.036,399.756,"08/01/2022","14:47",Cash,380.72,19.036,5.7,
1086,"556-97-7101",C,Naypyitaw,Normal,Female,Electronic accessories,63.22,2,6.322,132.762,"08/01/2022","15:51",Cash,126.44,6.322,8.5,
1087,"891-01-7034",B,Mandalay,Normal,Female,Electronic accessories,74.71,6,22.413,470.673,"08/01/2022","19:07",Cash,448.26,22.413,6.7,
1088,"770-42-8960",B,Mandalay,Normal,Male,Food and beverages,21.12,8,8.448,177.408,"08/01/2022","19:31",Cash,168.96,8.448,6.3,
1089,"493-65-6248",C,Naypyitaw,Member,Female,Sports and travel,36.98,10,18.49,388.29,"08/01/2022","19:48",Credit card,369.8,18.49,7,
1090,"182-52-7000",A,Yangon,Member,Female,Sports and travel,27.04,4,5.408,113.568,"08/01/2022","20:26",Ewallet,108.16,5.408,6.9,
1091,"244-08-0162",B,Mandalay,Normal,Female,Health and beauty,34.21,10,17.105,359.205,"08/02/2022","13:00",Cash,342.1,17.105,5.1,
1092,"198-84-7132",B,Mandalay,Member,Male,Fashion accessories,40.61,9,18.2745,383.7645,"08/02/2022","13:40",Cash,365.49,18.2745,7,
1093,"712-39-0363",A,Yangon,Member,Male,Food and beverages,41.66,6,12.498,262.458,"08/02/2022","15:24",Ewallet,249.96,12.498,5.6,
1094,"345-68-9016",C,Naypyitaw,Member,Female,Sports and travel,31.67,8,12.668,266.028,"08/02/2022","16:19",Credit card,253.36,12.668,5.6,
1095,"504-35-8843",A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,"08/02/2022","16:57",Cash,42.47,2.1235,5.7,
1096,"446-47-6729",C,Naypyitaw,Normal,Male,Fashion accessories,99.82,2,9.982,209.622,"08/02/2022","18:09",Credit card,199.64,9.982,6.7,
